,Make,AccidentArea,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,delay_weeks
7382,Honda,Urban,Male,Single,30,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
7383,Honda,Urban,Male,Married,42,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
7384,Toyota,Urban,Male,Married,54,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,2
7385,Mazda,Urban,Male,Married,30,Third Party,Sport - All Perils,20000 to 29000,0,400,1,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,45
7386,Toyota,Urban,Male,Married,38,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,7 years,No,Yes,External,1 to 2,no change,1 vehicle,4
7387,Toyota,Urban,Male,Married,46,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
7388,Chevrolet,Urban,Male,Single,26,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,4 years,No,No,External,none,no change,1 vehicle,60
7389,Honda,Urban,Male,Single,17,Policy Holder,Sedan - Liability,more than 69000,0,400,4,more than 30,none,new,No,No,External,none,no change,1 vehicle,61
7390,Mazda,Urban,Male,Married,80,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,60
7391,Toyota,Urban,Male,Married,59,Third Party,Sedan - Collision,more than 69000,0,400,2,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,5
7392,Pontiac,Urban,Male,Married,35,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,6 years,No,No,External,more than 5,4 to 8 years,2 vehicles,60
7393,Pontiac,Urban,Male,Married,53,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,8 to 15,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
7394,Honda,Rural,Female,Single,42,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,3,more than 30,none,4 years,No,No,External,1 to 2,no change,1 vehicle,60
7395,Mazda,Urban,Male,Married,34,Third Party,Sedan - All Perils,20000 to 29000,1,300,4,more than 30,1,5 years,No,No,External,none,2 to 3 years,1 vehicle,60
7396,Accura,Urban,Female,Married,36,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
7397,Pontiac,Urban,Male,Married,33,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,62
7398,Honda,Urban,Male,Married,33,Policy Holder,Sedan - All Perils,less than 20000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,62
7399,Mazda,Urban,Male,Single,32,Third Party,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,60
7400,Mazda,Urban,Male,Married,45,Third Party,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,61
7401,Toyota,Urban,Male,Married,57,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,61
7402,Mazda,Urban,Male,Married,27,Third Party,Sedan - Collision,more than 69000,0,400,4,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,60
7403,Toyota,Urban,Male,Married,28,Policy Holder,Sedan - All Perils,less than 20000,0,400,3,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,61
7404,Chevrolet,Urban,Male,Married,42,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,62
7405,Pontiac,Urban,Male,Single,53,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,2
7406,Pontiac,Urban,Male,Married,55,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
7407,Pontiac,Urban,Male,Married,63,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,62
7408,Honda,Urban,Male,Married,26,Policy Holder,Sedan - Collision,less than 20000,1,400,2,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
7409,Accura,Rural,Male,Married,45,Policy Holder,Utility - All Perils,more than 69000,0,700,2,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,61
7410,Toyota,Urban,Male,Single,33,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,60
7411,Chevrolet,Urban,Male,Married,40,Third Party,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
7412,Pontiac,Urban,Male,Married,50,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,60
7413,Toyota,Urban,Male,Married,40,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,60
7414,Toyota,Urban,Male,Married,59,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,6
7415,Toyota,Urban,Male,Married,40,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,2
7416,Mazda,Urban,Male,Married,39,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
7417,Chevrolet,Urban,Male,Married,61,Policy Holder,Utility - All Perils,more than 69000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,60
7418,Mazda,Rural,Male,Single,26,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,60
7419,Chevrolet,Urban,Male,Married,51,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
7420,Honda,Urban,Male,Married,40,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,62
7421,Honda,Urban,Male,Single,27,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,6 years,No,No,External,none,no change,3 to 4,61
7422,Toyota,Rural,Male,Single,49,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,1,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,61
7423,Pontiac,Urban,Female,Married,37,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
7424,Chevrolet,Urban,Male,Single,33,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
7425,Pontiac,Urban,Female,Married,44,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,60
7426,Honda,Urban,Male,Single,29,Policy Holder,Sedan - All Perils,less than 20000,0,400,2,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,61
7427,Pontiac,Urban,Female,Single,31,Policy Holder,Sedan - Collision,less than 20000,1,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
7428,Toyota,Urban,Male,Married,41,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,7
7429,Honda,Urban,Male,Single,17,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,60
7430,Mazda,Urban,Male,Married,36,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,7 years,No,No,External,3 to 5,no change,1 vehicle,61
7431,Pontiac,Urban,Female,Single,45,Policy Holder,Sedan - Liability,less than 20000,0,400,2,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
7432,Pontiac,Rural,Male,Married,63,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,none,more than 7,No,No,Internal,3 to 5,no change,1 vehicle,60
7433,Honda,Urban,Male,Married,58,Policy Holder,Sedan - Liability,less than 20000,0,400,3,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
7434,Ford,Rural,Male,Married,29,Policy Holder,Sedan - Liability,40000 to 59000,0,400,3,more than 30,2 to 4,6 years,No,No,External,more than 5,4 to 8 years,2 vehicles,60
7435,Toyota,Urban,Male,Married,36,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
7436,Pontiac,Urban,Male,Married,49,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,4
7437,Pontiac,Urban,Female,Divorced,43,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,62
7438,Chevrolet,Urban,Male,Single,23,Policy Holder,Utility - All Perils,more than 69000,0,400,2,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,1
7439,Toyota,Urban,Male,Single,27,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,2,15 to 30,none,6 years,No,No,External,none,no change,1 vehicle,60
7440,Mazda,Urban,Male,Single,70,Policy Holder,Sedan - Liability,20000 to 29000,0,700,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
7441,Honda,Urban,Male,Married,31,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,2
7442,Toyota,Urban,Male,Married,70,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,6
7443,Honda,Urban,Male,Married,59,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,60
7444,Toyota,Urban,Male,Married,51,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,more than 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
7445,Mazda,Urban,Male,Married,33,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
7446,Chevrolet,Urban,Male,Single,33,Policy Holder,Sedan - All Perils,more than 69000,0,500,3,more than 30,none,6 years,No,No,External,more than 5,2 to 3 years,1 vehicle,61
7447,Toyota,Urban,Male,Single,37,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,5
7448,Toyota,Urban,Male,Single,23,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,1,4 years,No,No,External,more than 5,no change,1 vehicle,62
7449,Pontiac,Urban,Male,Single,28,Third Party,Sedan - All Perils,less than 20000,0,400,2,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,61
7450,Pontiac,Rural,Male,Married,47,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,more than 7,Yes,No,External,1 to 2,no change,1 vehicle,61
7451,Pontiac,Urban,Female,Married,52,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,63
7452,Pontiac,Urban,Male,Married,37,Third Party,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,Yes,External,none,no change,1 vehicle,61
7453,Toyota,Urban,Male,Single,22,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,5 years,No,No,External,1 to 2,no change,1 vehicle,62
7454,Honda,Rural,Male,Married,37,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,6
7455,Toyota,Urban,Male,Married,26,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,4 to 8 years,2 vehicles,62
7456,Mazda,Urban,Male,Married,35,Third Party,Sedan - Liability,30000 to 39000,0,400,1,more than 30,more than 4,5 years,No,No,External,1 to 2,no change,1 vehicle,61
7457,Chevrolet,Rural,Male,Married,60,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,60
7458,Honda,Rural,Male,Single,16,Policy Holder,Sedan - All Perils,more than 69000,0,400,3,more than 30,1,new,No,No,External,none,no change,1 vehicle,64
7459,Mazda,Urban,Male,Married,33,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,60
7460,Mazda,Urban,Female,Married,31,Policy Holder,Sedan - Collision,20000 to 29000,1,400,1,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,60
7461,Mazda,Urban,Male,Married,45,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,1,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,60
7462,Toyota,Urban,Male,Married,45,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,Internal,none,1 year,3 to 4,60
7463,Mazda,Urban,Female,Single,32,Policy Holder,Sedan - Liability,more than 69000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
7464,Dodge,Urban,Male,Married,38,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,61
7465,Honda,Urban,Male,Married,32,Policy Holder,Sedan - Collision,20000 to 29000,1,400,4,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
7466,Toyota,Urban,Male,Single,19,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,4 years,No,No,External,none,no change,1 vehicle,2
7467,Toyota,Rural,Male,Married,56,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,60
7468,Toyota,Urban,Female,Married,26,Policy Holder,Sedan - Collision,less than 20000,0,400,4,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,60
7469,Chevrolet,Urban,Male,Married,50,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,1
7470,Toyota,Urban,Male,Married,41,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,2
7471,Chevrolet,Urban,Female,Married,56,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,1,6 years,Yes,Yes,External,more than 5,no change,1 vehicle,61
7472,Honda,Urban,Male,Single,17,Policy Holder,Utility - Liability,more than 69000,0,400,3,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,11
7473,Chevrolet,Urban,Male,Single,46,Policy Holder,Utility - All Perils,more than 69000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
7474,Chevrolet,Rural,Male,Single,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,61
7475,Toyota,Urban,Female,Single,29,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1
7476,Toyota,Urban,Male,Married,50,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,4,more than 30,2 to 4,7 years,No,No,External,none,4 to 8 years,2 vehicles,3
7477,Honda,Rural,Male,Married,47,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
7478,Honda,Urban,Male,Married,42,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
7479,Mazda,Urban,Female,Single,27,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,61
7480,Honda,Urban,Male,Single,16,Policy Holder,Sedan - Liability,more than 69000,0,400,3,more than 30,more than 4,new,No,No,External,none,no change,1 vehicle,2
7481,Chevrolet,Urban,Male,Married,40,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,4
7482,Toyota,Urban,Female,Single,42,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,more than 4,5 years,No,No,External,1 to 2,no change,1 vehicle,3
7483,Pontiac,Urban,Male,Married,26,Third Party,Sedan - All Perils,less than 20000,0,400,1,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,2
7484,Toyota,Urban,Male,Married,37,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,60
7485,VW,Urban,Male,Married,66,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
7486,Toyota,Urban,Male,Married,45,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,61
7487,Pontiac,Urban,Male,Married,35,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,60
7488,Honda,Urban,Female,Married,51,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
7489,Pontiac,Urban,Male,Married,45,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,2 to 4,7 years,No,No,Internal,none,no change,1 vehicle,60
7490,VW,Rural,Male,Married,45,Policy Holder,Sedan - Collision,more than 69000,0,400,3,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1
7491,Accura,Urban,Male,Married,33,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,3 to 5,no change,1 vehicle,61
7492,Pontiac,Urban,Male,Married,44,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
7493,VW,Urban,Male,Married,47,Policy Holder,Sedan - Liability,60000 to 69000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,2
7494,Accura,Urban,Male,Married,68,Policy Holder,Utility - All Perils,more than 69000,1,400,2,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
7495,Honda,Urban,Male,Married,41,Third Party,Sport - Collision,more than 69000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,61
7496,Toyota,Urban,Male,Married,62,Third Party,Sedan - All Perils,30000 to 39000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,60
7497,Toyota,Urban,Male,Married,53,Third Party,Sedan - All Perils,20000 to 29000,0,500,3,more than 30,none,7 years,No,No,External,none,2 to 3 years,2 vehicles,1
7498,Mazda,Urban,Female,Married,32,Policy Holder,Sedan - Collision,20000 to 29000,1,400,4,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,3
7499,Chevrolet,Urban,Male,Married,45,Policy Holder,Sedan - Liability,60000 to 69000,0,400,1,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,61
7500,Pontiac,Urban,Male,Married,33,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
7501,Pontiac,Urban,Male,Married,29,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,4 years,No,No,External,3 to 5,no change,1 vehicle,2
7502,Pontiac,Urban,Male,Married,73,Third Party,Sedan - All Perils,more than 69000,0,700,1,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
7503,Pontiac,Urban,Male,Married,34,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,more than 5,no change,3 to 4,61
7504,Pontiac,Urban,Male,Married,31,Policy Holder,Sedan - Collision,30000 to 39000,1,400,3,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,7
7505,Chevrolet,Urban,Male,Married,40,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
7506,Mazda,Urban,Male,Married,64,Policy Holder,Sedan - Liability,more than 69000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,11
7507,Toyota,Urban,Male,Married,47,Third Party,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
7508,Pontiac,Urban,Male,Married,35,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1
7509,VW,Urban,Male,Married,57,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,2,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,61
7510,Pontiac,Urban,Male,Single,41,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,7
7511,Mazda,Urban,Female,Single,32,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,1,7 years,No,No,External,3 to 5,no change,1 vehicle,60
7512,Toyota,Urban,Male,Married,59,Policy Holder,Sedan - Collision,less than 20000,0,400,2,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
7513,Mazda,Urban,Male,Single,37,Policy Holder,Sport - Collision,more than 69000,0,400,2,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
7514,Toyota,Urban,Male,Married,73,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,15 to 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
7515,Toyota,Urban,Male,Married,50,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
7516,Mazda,Rural,Male,Married,52,Policy Holder,Sedan - Collision,30000 to 39000,0,400,3,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
7517,Pontiac,Urban,Male,Married,70,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,61
7518,Honda,Urban,Male,Single,29,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,more than 4,6 years,No,No,External,none,4 to 8 years,2 vehicles,61
7519,Pontiac,Urban,Male,Married,36,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
7520,Mazda,Urban,Male,Single,33,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,60
7521,Pontiac,Urban,Male,Married,29,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,2,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,2
7522,Mazda,Urban,Male,Married,28,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,3,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,9
7523,Honda,Urban,Male,Married,59,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,62
7524,Mazda,Urban,Male,Single,22,Third Party,Sedan - Collision,30000 to 39000,0,400,4,more than 30,2 to 4,4 years,Yes,No,External,more than 5,no change,1 vehicle,60
7525,Pontiac,Urban,Female,Married,32,Third Party,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,60
7526,Mazda,Urban,Male,Married,47,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
7527,VW,Urban,Male,Married,64,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,more than 7,Yes,No,External,1 to 2,no change,1 vehicle,60
7528,Mazda,Urban,Male,Married,34,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,60
7529,Toyota,Urban,Female,Married,22,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,4 years,No,No,External,more than 5,no change,1 vehicle,62
7530,Toyota,Urban,Female,Married,24,Third Party,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,61
7531,Pontiac,Urban,Male,Married,47,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,61
7532,Mazda,Urban,Male,Single,33,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,61
7533,Pontiac,Urban,Female,Single,43,Policy Holder,Sedan - Liability,less than 20000,0,700,2,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
7534,Chevrolet,Urban,Male,Single,28,Third Party,Sedan - All Perils,30000 to 39000,0,400,2,more than 30,2 to 4,6 years,Yes,No,External,none,no change,1 vehicle,61
7535,Honda,Urban,Male,Married,40,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,60
7536,Pontiac,Urban,Male,Single,23,Policy Holder,Sedan - Collision,less than 20000,0,400,2,none,none,5 years,No,No,External,none,no change,1 vehicle,1
7537,Ford,Urban,Male,Married,31,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,4
7538,Pontiac,Urban,Male,Single,26,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,61
7539,Chevrolet,Urban,Male,Married,26,Third Party,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,6 years,No,No,External,3 to 5,4 to 8 years,2 vehicles,61
7540,Toyota,Urban,Male,Married,37,Policy Holder,Sedan - All Perils,more than 69000,0,400,1,more than 30,none,7 years,Yes,No,External,1 to 2,no change,1 vehicle,1
7541,Chevrolet,Urban,Male,Single,25,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,2 to 4,5 years,No,No,Internal,more than 5,no change,1 vehicle,60
7542,Honda,Urban,Male,Married,58,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,4,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
7543,Toyota,Urban,Male,Married,34,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,61
7544,Toyota,Urban,Male,Single,26,Policy Holder,Sedan - Collision,30000 to 39000,0,400,1,more than 30,1,6 years,No,No,Internal,more than 5,no change,3 to 4,60
